,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
0,15,3,5,14,-3.61,12.87,-0.22
1,15,3,5,21,26.98,6.03,7.74
2,15,3,5,28,9.79,12.66,0.34
3,15,3,5,35,-5.89,19.16,-0.27
4,15,3,6,14,3.86,5.14,-0.04
5,15,3,6,21,25.14,8.49,3.38
6,15,3,6,28,13.23,11.09,0.57
7,15,3,6,35,-11.89,17.72,-0.38
8,15,3,7,14,5.36,8.84,0.09
9,15,3,7,21,36.85,5.33,7.12
10,15,3,7,28,18.42,10.74,1.19
11,15,3,7,35,14.41,10.74,0.75
12,15,3,8,14,-22.59,13.79,-8.83
13,15,3,8,21,-2.79,9.12,-0.33
14,15,3,8,28,-17.13,16.14,-8.15
15,15,3,8,35,-7.65,11.44,-1.51
16,15,3,9,14,-14.64,14.14,-3.34
17,15,3,9,21,-2.79,9.12,-0.33
18,15,3,9,28,-17.13,16.14,-8.15
19,15,3,9,35,-7.65,11.44,-1.51
20,15,3,10,14,-14.64,14.14,-3.34
21,15,3,10,21,-2.79,9.12,-0.33
22,15,3,10,28,-15.26,15.19,-4.32
23,15,3,10,35,-5.68,10.49,-1.69
24,15,4,5,14,-0.44,11.44,-0.13
25,15,4,5,21,36.06,5.21,5.68
26,15,4,5,28,16.46,11.63,1.01
27,15,4,5,35,16.46,11.63,1.01
28,15,4,6,14,11.10,5.06,0.44
29,15,4,6,21,36.85,5.33,7.12
30,15,4,6,28,18.42,10.74,1.19
31,15,4,6,35,14.41,10.74,0.75
32,15,4,7,14,9.39,7.88,0.31
33,15,4,7,21,13.25,7.88,0.57
34,15,4,7,28,5.31,15.64,0.08
35,15,4,7,35,1.65,15.64,-0.06
36,15,4,8,14,-22.59,13.79,-8.83
37,15,4,8,21,-2.79,9.12,-0.33
38,15,4,8,28,-17.13,16.14,-8.15
39,15,4,8,35,-7.65,11.44,-1.51
40,15,4,9,14,-14.64,14.14,-3.34
41,15,4,9,21,-2.79,9.12,-0.33
42,15,4,9,28,-15.26,15.19,-4.32
43,15,4,9,35,-5.68,10.49,-1.69
44,15,4,10,14,-14.64,14.14,-3.34
45,15,4,10,21,-2.79,9.12,-0.33
46,15,4,10,28,-2.50,8.98,-0.32
47,15,4,10,35,-3.77,9.58,-2.04
48,15,5,5,14,-0.44,11.44,-0.13
49,15,5,5,21,32.47,5.62,12.25
50,15,5,5,28,14.51,12.31,0.76
51,15,5,5,35,14.51,12.31,0.76
52,15,5,6,14,26.52,5.14,7.53
53,15,5,6,21,31.23,5.37,32.66
54,15,5,6,28,13.23,11.09,0.57
55,15,5,6,35,9.37,11.09,0.31
56,15,5,7,14,9.39,7.88,0.31
57,15,5,7,21,36.85,5.33,7.12
58,15,5,7,28,19.01,10.49,1.30
59,15,5,7,35,14.99,10.49,0.83
60,15,5,8,14,-17.40,12.91,-8.72
61,15,5,8,21,-2.79,9.12,-0.33
62,15,5,8,28,-15.26,15.19,-4.32
63,15,5,8,35,-5.68,10.49,-1.69
64,15,5,9,14,-14.64,14.14,-3.34
65,15,5,9,21,-2.79,9.12,-0.33
66,15,5,9,28,-2.50,8.98,-0.32
67,15,5,9,35,-3.77,9.58,-2.04
68,15,5,10,14,-14.64,14.14,-3.34
69,15,5,10,21,-2.79,9.12,-0.33
70,15,5,10,28,-15.26,15.19,-4.32
71,15,5,10,35,-5.68,10.49,-1.69
72,15,6,5,14,-0.44,11.44,-0.13
73,15,6,5,21,26.98,6.03,7.74
74,15,6,5,28,9.79,12.66,0.34
75,15,6,5,35,9.79,12.66,0.34
76,15,6,6,14,26.52,5.14,7.53
77,15,6,6,21,31.23,5.37,32.66
78,15,6,6,28,11.68,11.79,0.44
79,15,6,6,35,7.84,11.79,0.22
80,15,6,7,14,-14.68,18.56,-0.43
81,15,6,7,21,6.64,15.28,0.14
82,15,6,7,28,6.64,15.28,0.14
83,15,6,7,35,2.96,15.28,-0.02
84,15,6,8,14,-17.40,12.91,-8.72
85,15,6,8,21,-2.79,9.12,-0.33
86,15,6,8,28,-2.50,8.98,-0.32
87,15,6,8,35,-3.77,9.58,-2.04
88,15,6,9,14,-19.65,12.76,-184.41
89,15,6,9,21,-2.79,9.12,-0.33
90,15,6,9,28,-2.50,8.98,-0.32
91,15,6,9,35,-3.77,9.58,-2.04
92,15,6,10,14,-14.64,14.14,-3.34
93,15,6,10,21,-2.79,9.12,-0.33
94,15,6,10,28,-2.50,8.98,-0.32
95,15,6,10,35,-3.77,9.58,-2.04
96,15,7,5,14,-0.44,11.44,-0.13
97,15,7,5,21,26.98,6.03,7.74
98,15,7,5,28,10.35,12.41,0.38
99,15,7,5,35,10.35,12.41,0.38
100,15,7,6,14,-1.35,15.63,-0.16
101,15,7,6,21,2.22,15.63,-0.04
102,15,7,6,28,2.22,15.63,-0.04
103,15,7,6,35,-1.35,15.63,-0.16
104,15,7,7,14,-11.86,17.23,-0.39
105,15,7,7,21,10.07,13.91,0.33
106,15,7,7,28,10.07,13.91,0.33
107,15,7,7,35,6.29,13.91,0.13
108,15,7,8,14,-17.40,12.91,-8.72
109,15,7,8,21,-2.79,9.12,-0.33
110,15,7,8,28,-15.26,15.19,-4.32
111,15,7,8,35,-5.68,10.49,-1.69
112,15,7,9,14,-19.65,12.76,-184.41
113,15,7,9,21,-2.79,9.12,-0.33
114,15,7,9,28,-2.50,8.98,-0.32
115,15,7,9,35,-3.77,9.58,-2.04
116,15,7,10,14,-16.30,13.56,-5.18
117,15,7,10,21,-2.79,9.12,-0.33
118,15,7,10,28,-2.50,8.98,-0.32
119,15,7,10,35,-3.77,9.58,-2.04
120,15,8,5,14,-0.44,11.44,-0.13
121,15,8,5,21,26.98,6.03,7.74
122,15,8,5,28,10.35,12.41,0.38
123,15,8,5,35,10.35,12.41,0.38
124,15,8,6,14,26.52,5.14,7.53
125,15,8,6,21,31.23,5.37,32.66
126,15,8,6,28,31.23,5.37,32.66
127,15,8,6,35,12.26,9.94,0.54
128,15,8,7,14,9.39,7.88,0.31
129,15,8,7,21,36.85,5.33,7.12
130,15,8,7,28,19.01,10.49,1.30
131,15,8,7,35,14.99,10.49,0.83
132,15,8,8,14,-33.66,22.02,-2.49
133,15,8,8,21,-21.79,18.55,-11.57
134,15,8,8,28,-21.57,18.44,-10.32
135,15,8,8,35,-12.69,13.91,-1.30
136,15,8,9,14,-16.30,13.56,-5.18
137,15,8,9,21,-2.79,9.12,-0.33
138,15,8,9,28,-2.50,8.98,-0.32
139,15,8,9,35,-3.77,9.58,-2.04
140,15,8,10,14,-16.30,13.56,-5.18
141,15,8,10,21,-2.79,9.12,-0.33
142,15,8,10,28,-2.50,8.98,-0.32
143,15,8,10,35,-3.77,9.58,-2.04
144,15,9,5,14,-0.44,11.44,-0.13
145,15,9,5,21,26.98,6.03,7.74
146,15,9,5,28,26.98,6.03,7.74
147,15,9,5,35,26.98,6.03,7.74
148,15,9,6,14,26.52,5.14,7.53
149,15,9,6,21,31.23,5.37,32.66
150,15,9,6,28,31.23,5.37,32.66
151,15,9,6,35,12.26,9.94,0.54
152,15,9,7,14,-14.68,18.56,-0.43
153,15,9,7,21,6.64,15.28,0.14
154,15,9,7,28,6.64,15.28,0.14
155,15,9,7,35,2.96,15.28,-0.02
156,15,9,8,14,-32.71,22.56,-2.58
157,15,9,8,21,-21.79,18.55,-11.57
158,15,9,8,28,-21.57,18.44,-10.32
159,15,9,8,35,-12.69,13.91,-1.30
160,15,9,9,14,-16.30,13.56,-5.18
161,15,9,9,21,-16.73,15.94,-6.62
162,15,9,9,28,-16.66,15.90,-6.76
163,15,9,9,35,-7.16,11.20,-1.54
164,15,9,10,14,-16.30,13.56,-5.18
165,15,9,10,21,-2.79,9.12,-0.33
166,15,9,10,28,-2.50,8.98,-0.32
167,15,9,10,35,-3.77,9.58,-2.04
168,15,10,5,14,26.98,6.03,7.74
169,15,10,5,21,26.98,6.03,7.74
170,15,10,5,28,10.35,12.41,0.38
171,15,10,5,35,10.35,12.41,0.38
172,15,10,6,14,26.52,5.14,7.53
173,15,10,6,21,31.23,5.37,32.66
174,15,10,6,28,31.23,5.37,32.66
175,15,10,6,35,12.26,9.94,0.54
176,15,10,7,14,-8.41,18.16,-0.32
177,15,10,7,21,10.07,13.91,0.33
178,15,10,7,28,10.07,13.91,0.33
179,15,10,7,35,6.29,13.91,0.13
180,15,10,8,14,-16.30,13.56,-5.18
181,15,10,8,21,-2.79,9.12,-0.33
182,15,10,8,28,-2.50,8.98,-0.32
183,15,10,8,35,-3.77,9.58,-2.04
184,15,10,9,14,-16.30,13.56,-5.18
185,15,10,9,21,-2.79,9.12,-0.33
186,15,10,9,28,-2.50,8.98,-0.32
187,15,10,9,35,-3.77,9.58,-2.04
188,15,10,10,14,-16.30,13.56,-5.18
189,15,10,10,21,-2.79,9.12,-0.33
190,15,10,10,28,-2.50,8.98,-0.32
191,15,10,10,35,-3.77,9.58,-2.04
192,20,3,5,14,-24.75,23.12,-0.54
193,20,3,5,21,-0.96,17.13,-0.15
194,20,3,5,28,-0.96,17.13,-0.15
195,20,3,5,35,-0.96,17.13,-0.15
196,20,3,6,14,1.85,14.26,-0.06
197,20,3,6,21,5.52,14.26,0.09
198,20,3,6,28,5.52,14.26,0.09
199,20,3,6,35,1.85,14.26,-0.06
200,20,3,7,14,14.06,8.92,0.71
201,20,3,7,21,36.85,5.33,7.12
202,20,3,7,28,19.01,10.49,1.30
203,20,3,7,35,14.99,10.49,0.83
204,20,3,8,14,-16.30,13.56,-5.18
205,20,3,8,21,-2.79,9.12,-0.33
206,20,3,8,28,6.75,11.44,0.14
207,20,3,8,35,6.75,11.44,0.14
208,20,3,9,14,-16.30,13.56,-5.18
209,20,3,9,21,-2.79,9.12,-0.33
210,20,3,9,28,-15.26,15.19,-4.32
211,20,3,9,35,-5.68,10.49,-1.69
212,20,3,10,14,-16.30,13.56,-5.18
213,20,3,10,21,-2.79,9.12,-0.33
214,20,3,10,28,-15.76,15.44,-4.99
215,20,3,10,35,-6.20,10.74,-1.63
216,20,4,5,14,-15.89,18.66,-0.44
217,20,4,5,21,2.25,15.78,-0.04
218,20,4,5,28,2.25,15.78,-0.04
219,20,4,5,35,2.25,15.78,-0.04
220,20,4,6,14,-13.45,15.82,-0.41
221,20,4,6,21,6.64,15.28,0.14
222,20,4,6,28,6.64,15.28,0.14
223,20,4,6,35,2.96,15.28,-0.02
224,20,4,7,14,-11.34,19.48,-0.38
225,20,4,7,21,-8.35,19.48,-0.31
226,20,4,7,28,-3.73,19.37,-0.21
227,20,4,7,35,-7.15,19.37,-0.30
228,20,4,8,14,-32.71,22.56,-2.58
229,20,4,8,21,-21.79,18.55,-11.57
230,20,4,8,28,-21.57,18.44,-10.32
231,20,4,8,35,-12.69,13.91,-1.30
232,20,4,9,14,-16.30,13.56,-5.18
233,20,4,9,21,-16.30,13.56,-5.18
234,20,4,9,28,-23.42,19.19,-5.92
235,20,4,9,35,-14.81,14.73,-1.26
236,20,4,10,14,-16.30,13.56,-5.18
237,20,4,10,21,-16.30,13.56,-5.18
238,20,4,10,28,-28.59,20.20,-3.27
239,20,4,10,35,-12.60,13.79,-1.30
240,20,5,5,14,12.67,9.61,0.56
241,20,5,5,21,32.47,5.62,12.25
242,20,5,5,28,15.42,12.08,0.86
243,20,5,5,35,15.42,12.08,0.86
244,20,5,6,14,-12.69,18.88,-0.40
245,20,5,6,21,6.64,15.28,0.14
246,20,5,6,28,6.64,15.28,0.14
247,20,5,6,35,2.96,15.28,-0.02
248,20,5,7,14,-8.41,18.16,-0.32
249,20,5,7,21,-5.35,18.16,-0.25
250,20,5,7,28,-0.60,18.05,-0.13
251,20,5,7,35,-4.10,18.05,-0.23
252,20,5,8,14,-16.30,13.56,-5.18
253,20,5,8,21,-16.30,13.56,-5.18
254,20,5,8,28,-11.68,13.64,-1.86
255,20,5,8,35,-9.09,12.07,-1.43
256,20,5,9,14,-16.30,13.56,-5.18
257,20,5,9,21,-16.30,13.56,-5.18
258,20,5,9,28,-11.94,13.29,-1.95
259,20,5,9,35,-13.08,13.86,-1.29
260,20,5,10,14,-16.30,13.56,-5.18
261,20,5,10,21,-16.30,13.56,-5.18
262,20,5,10,28,-26.95,19.29,-3.68
263,20,5,10,35,-10.90,12.95,-1.35
264,20,6,5,14,-9.30,20.55,-0.34
265,20,6,5,21,3.36,16.77,0.00
266,20,6,5,28,3.36,16.77,0.00
267,20,6,5,35,3.36,16.77,0.00
268,20,6,6,14,-9.81,17.55,-0.35
269,20,6,6,21,-6.48,17.55,-0.27
270,20,6,6,28,-0.60,18.05,-0.13
271,20,6,6,35,-4.10,18.05,-0.23
272,20,6,7,14,-11.34,19.48,-0.38
273,20,6,7,21,-8.35,19.48,-0.31
274,20,6,7,28,-3.73,19.37,-0.21
275,20,6,7,35,-7.15,19.37,-0.30
276,20,6,8,14,-16.30,13.56,-5.18
277,20,6,8,21,-16.30,13.56,-5.18
278,20,6,8,28,-11.68,13.64,-1.86
279,20,6,8,35,2.55,6.56,-0.57
280,20,6,9,14,-16.30,13.56,-5.18
281,20,6,9,21,-16.30,13.56,-5.18
282,20,6,9,28,-11.68,13.64,-1.86
283,20,6,9,35,-1.72,8.87,-3.30
284,20,6,10,14,-16.30,13.56,-5.18
285,20,6,10,21,-16.30,13.56,-5.18
286,20,6,10,28,-16.06,13.43,-5.48
287,20,6,10,35,-12.78,14.49,-1.30
288,20,7,5,14,-6.34,19.26,-0.28
289,20,7,5,21,-6.34,19.26,-0.28
290,20,7,5,28,-3.71,19.50,-0.22
291,20,7,5,35,-3.71,19.50,-0.22
292,20,7,6,14,-14.93,18.79,-0.43
293,20,7,6,21,-12.04,18.79,-0.37
294,20,7,6,28,-3.73,19.37,-0.21
295,20,7,6,35,-7.15,19.37,-0.30
296,20,7,7,14,-11.34,19.48,-0.38
297,20,7,7,21,-8.35,19.48,-0.31
298,20,7,7,28,-3.46,19.68,-0.20
299,20,7,7,35,-2.64,17.67,-0.19
300,20,7,8,14,-32.71,22.56,-2.58
301,20,7,8,21,-32.71,22.56,-2.58
302,20,7,8,28,-28.99,22.63,-3.08
303,20,7,8,35,-17.61,16.32,-1.22
304,20,7,9,14,-16.30,13.56,-5.18
305,20,7,9,21,-16.30,13.56,-5.18
306,20,7,9,28,-11.68,13.64,-1.86
307,20,7,9,35,-1.72,8.87,-3.30
308,20,7,10,14,-16.30,13.56,-5.18
309,20,7,10,21,-16.30,13.56,-5.18
310,20,7,10,28,-16.06,13.43,-5.48
311,20,7,10,35,2.55,6.56,-0.57
312,20,8,5,14,16.38,9.93,1.00
313,20,8,5,21,16.38,9.93,1.00
314,20,8,5,28,20.13,10.47,1.77
315,20,8,5,35,25.18,8.20,4.83
316,20,8,6,14,11.10,5.06,0.44
317,20,8,6,21,26.13,5.34,4.23
318,20,8,6,28,24.20,8.87,2.79
319,20,8,6,35,25.07,6.56,4.68
320,20,8,7,14,-8.41,18.16,-0.32
321,20,8,7,21,-5.35,18.16,-0.25
322,20,8,7,28,-0.31,18.37,-0.12
323,20,8,7,35,0.55,16.32,-0.10
324,20,8,8,14,-32.71,22.56,-2.58
325,20,8,8,21,-32.71,22.56,-2.58
326,20,8,8,28,-28.99,22.63,-3.08
327,20,8,8,35,-21.01,18.37,-1.18
328,20,8,9,14,-16.30,13.56,-5.18
329,20,8,9,21,-16.30,13.56,-5.18
330,20,8,9,28,-11.68,13.64,-1.86
331,20,8,9,35,-1.72,8.87,-3.30
332,20,8,10,14,-16.30,13.56,-5.18
333,20,8,10,21,-16.30,13.56,-5.18
334,20,8,10,28,-16.06,13.43,-5.48
335,20,8,10,35,-1.69,9.50,-3.34
336,20,9,5,14,-9.30,20.55,-0.34
337,20,9,5,21,-9.30,20.55,-0.34
338,20,9,5,28,-6.77,20.79,-0.29
339,20,9,5,35,-6.77,20.79,-0.29
340,20,9,6,14,-12.69,18.88,-0.40
341,20,9,6,21,-9.44,18.88,-0.33
342,20,9,6,28,-3.46,19.68,-0.20
343,20,9,6,35,-6.87,19.68,-0.30
344,20,9,7,14,14.06,8.92,0.71
345,20,9,7,21,18.07,8.92,1.12
346,20,9,7,28,24.20,8.87,2.79
347,20,9,7,35,19.68,8.87,1.72
348,20,9,8,14,-16.30,13.56,-5.18
349,20,9,8,21,-16.30,13.56,-5.18
350,20,9,8,28,-11.68,13.64,-1.86
351,20,9,8,35,-1.72,8.87,-3.30
352,20,9,9,14,-16.30,13.56,-5.18
353,20,9,9,21,-16.30,13.56,-5.18
354,20,9,9,28,-16.06,13.43,-5.48
355,20,9,9,35,-1.69,9.50,-3.34
356,20,9,10,14,-16.30,13.56,-5.18
357,20,9,10,21,-16.30,13.56,-5.18
358,20,9,10,28,-16.06,13.43,-5.48
359,20,9,10,35,-1.69,9.50,-3.34
360,20,10,5,14,-9.67,19.12,-0.35
361,20,10,5,21,-6.34,19.12,-0.27
362,20,10,5,28,-6.34,19.12,-0.27
363,20,10,5,35,-2.64,17.67,-0.19
364,20,10,6,14,-9.81,17.55,-0.35
365,20,10,6,21,-6.48,17.55,-0.27
366,20,10,6,28,-6.52,18.17,-0.27
367,20,10,6,35,-3.79,18.64,-0.23
368,20,10,7,14,14.06,8.92,0.71
369,20,10,7,21,18.07,8.92,1.12
370,20,10,7,28,18.07,8.92,1.12
371,20,10,7,35,25.07,6.56,4.68
372,20,10,8,14,0.96,10.77,-0.19
373,20,10,8,21,0.96,10.77,-0.19
374,20,10,8,28,0.96,10.77,-0.19
375,20,10,8,35,7.71,11.73,0.33
376,20,10,9,14,0.96,10.77,-0.19
377,20,10,9,21,0.96,10.77,-0.19
378,20,10,9,28,0.96,10.77,-0.19
379,20,10,9,35,7.71,11.73,0.33
380,20,10,10,14,-16.30,13.56,-5.18
381,20,10,10,21,-16.30,13.56,-5.18
382,20,10,10,28,-16.06,13.43,-5.48
383,20,10,10,35,-6.52,8.92,-1.60
384,25,3,5,14,11.85,3.13,0.66
385,25,3,5,21,-2.77,12.11,-0.24
386,25,3,5,28,-15.91,18.28,-0.50
387,25,3,5,35,-5.04,16.57,-0.30
388,25,3,6,14,-18.38,9.73,-15.07
389,25,3,6,21,-19.12,12.92,-30.79
390,25,3,6,28,-3.35,15.98,-0.19
391,25,3,6,35,-3.35,15.98,-0.19
392,25,3,7,14,-16.30,13.56,-5.18
393,25,3,7,21,-16.30,13.56,-5.18
394,25,3,7,28,-6.12,14.82,-0.25
395,25,3,7,35,-1.39,15.35,-0.14
396,25,3,8,14,-27.46,19.57,-3.72
397,25,3,8,21,-16.30,13.56,-5.18
398,25,3,8,28,7.96,8.92,0.20
399,25,3,8,35,-17.00,20.87,-0.43
400,25,3,9,14,-16.30,13.56,-5.18
401,25,3,9,21,-16.30,13.56,-5.18
402,25,3,9,28,6.87,8.92,0.16
403,25,3,9,35,6.87,8.92,0.16
404,25,3,10,14,-16.30,13.56,-5.18
405,25,3,10,21,-16.30,13.56,-5.18
406,25,3,10,28,-8.13,15.06,-0.33
407,25,3,10,35,-8.13,15.06,-0.33
408,25,4,5,14,-16.09,11.90,-0.63
409,25,4,5,21,-16.09,11.90,-0.63
410,25,4,5,28,-10.15,11.90,-0.33
411,25,4,5,35,-11.74,19.95,-0.36
412,25,4,6,14,-36.38,20.38,-2.23
413,25,4,6,21,-30.33,16.65,-2.96
414,25,4,6,28,-10.15,11.90,-0.33
415,25,4,6,35,-11.74,19.95,-0.36
416,25,4,7,14,-34.81,23.79,-2.34
417,25,4,7,21,-34.81,23.79,-2.34
418,25,4,7,28,-16.06,19.48,-0.42
419,25,4,7,35,-11.74,19.95,-0.36
420,25,4,8,14,-16.30,13.56,-5.18
421,25,4,8,21,-16.30,13.56,-5.18
422,25,4,8,28,6.87,8.92,0.16
423,25,4,8,35,6.87,8.92,0.16
424,25,4,9,14,-16.30,13.56,-5.18
425,25,4,9,21,-16.30,13.56,-5.18
426,25,4,9,28,6.24,8.92,0.13
427,25,4,9,35,6.24,8.92,0.13
428,25,4,10,14,-16.30,13.56,-5.18
429,25,4,10,21,-16.30,13.56,-5.18
430,25,4,10,28,-9.87,15.73,-0.37
431,25,4,10,35,-9.87,15.73,-0.37
432,25,5,5,14,-22.23,11.90,-1.17
433,25,5,5,21,-22.23,11.90,-1.17
434,25,5,5,28,-10.15,11.90,-0.33
435,25,5,5,35,-11.74,19.95,-0.36
436,25,5,6,14,-34.19,19.01,-2.39
437,25,5,6,21,-27.88,15.19,-3.60
438,25,5,6,28,-6.95,10.34,-0.27
439,25,5,6,35,-12.90,18.43,-0.37
440,25,5,7,14,-34.81,23.79,-2.34
441,25,5,7,21,-8.35,19.48,-0.31
442,25,5,7,28,-8.35,19.48,-0.31
443,25,5,7,35,-16.74,19.48,-0.45
444,25,5,8,14,-32.71,22.56,-2.58
445,25,5,8,21,-32.71,22.56,-2.58
446,25,5,8,28,-14.67,18.16,-0.44
447,25,5,8,35,-14.67,18.16,-0.44
448,25,5,9,14,-16.30,13.56,-5.18
449,25,5,9,21,-16.30,13.56,-5.18
450,25,5,9,28,5.79,8.92,0.11
451,25,5,9,35,5.79,8.92,0.11
452,25,5,10,14,-16.30,13.56,-5.18
453,25,5,10,21,-16.30,13.56,-5.18
454,25,5,10,28,4.41,8.92,0.04
455,25,5,10,35,4.41,8.92,0.04
456,25,6,5,14,-6.34,19.26,-0.28
457,25,6,5,21,-6.34,19.26,-0.28
458,25,6,5,28,-6.34,19.26,-0.28
459,25,6,5,35,-7.96,19.85,-0.32
460,25,6,6,14,-18.38,9.73,-15.07
461,25,6,6,21,26.13,5.34,4.23
462,25,6,6,28,26.13,5.34,4.23
463,25,6,6,35,-4.73,14.24,-0.24
464,25,6,7,14,-10.21,19.47,-0.36
465,25,6,7,21,-6.89,19.47,-0.28
466,25,6,7,28,-6.89,19.47,-0.28
467,25,6,7,35,-10.21,19.47,-0.36
468,25,6,8,14,-31.73,22.53,-2.69
469,25,6,8,21,-31.73,22.53,-2.69
470,25,6,8,28,-13.95,18.16,-0.44
471,25,6,8,35,-13.95,18.16,-0.44
472,25,6,9,14,-15.21,13.59,-3.83
473,25,6,9,21,-15.21,13.59,-3.83
474,25,6,9,28,5.62,8.98,0.11
475,25,6,9,35,5.62,8.98,0.11
476,25,6,10,14,-15.21,13.59,-3.83
477,25,6,10,21,-15.21,13.59,-3.83
478,25,6,10,28,9.20,8.98,0.27
479,25,6,10,35,9.20,8.98,0.27
480,25,7,5,14,-9.30,20.55,-0.34
481,25,7,5,21,-9.30,20.55,-0.34
482,25,7,5,28,-9.30,20.55,-0.34
483,25,7,5,35,-10.89,21.14,-0.37
484,25,7,6,14,-13.45,15.82,-0.41
485,25,7,6,21,-2.01,11.90,-0.17
